,ABCG2,MDR1,MRP1,MRP2,MRP3,MRP4,NTCP2,S15A1,S22A1,SO1A2,SO1B1,SO1B3,SO2B1
ABCG2,1,0.330621867,0,0.023091166,0,0.110127563,0.056887184,0.159947355,0.097582982,0,0.015824916,0,0.065997145
MDR1,0.330621867,1,0.157059277,0.166582161,0.144729872,0.112303794,0.164686267,0.363136039,0.231152405,0.046743914,0.132932091,0.107578556,0.085246549
MRP1,0,0.157059277,1,0.293515137,0.211957883,0.12852835,0.035808188,0.09509708,0.067260704,0.049350112,0.053444379,0.07290668,0
MRP2,0.023091166,0.166582161,0.293515137,1,0.271575348,0.089693921,0.018703015,0.074609999,0.074636543,0.114863545,0.145856601,0.167352086,0.092700801
MRP3,0,0.144729872,0.211957883,0.271575348,1,0.109256763,0.002195217,0.052440759,0.030025504,0,0.059409607,0.048355354,0.038523044
MRP4,0.110127563,0.112303794,0.12852835,0.089693921,0.109256763,1,0.004412667,0.038938816,0,0.080924748,0.115939088,0.066917877,0
NTCP2,0.056887184,0.164686267,0.035808188,0.018703015,0.002195217,0.004412667,1,0.055260824,0.037300512,0,0,0,0
S15A1,0.159947355,0.363136039,0.09509708,0.074609999,0.052440759,0.038938816,0.055260824,1,0.104133576,0.055989148,0.043207821,0.039893473,0.030438712
S22A1,0.097582982,0.231152405,0.067260704,0.074636543,0.030025504,0,0.037300512,0.104133576,1,0.014493356,0.020967143,0.03397567,0
SO1A2,0,0.046743914,0.049350112,0.114863545,0,0.080924748,0,0.055989148,0.014493356,1,0.317111182,0.32438942,0.230457313
SO1B1,0.015824916,0.132932091,0.053444379,0.145856601,0.059409607,0.115939088,0,0.043207821,0.020967143,0.317111182,1,0.501365038,0.259655934
SO1B3,0,0.107578556,0.07290668,0.167352086,0.048355354,0.066917877,0,0.039893473,0.03397567,0.32438942,0.501365038,1,0.199565018
SO2B1,0.065997145,0.085246549,0,0.092700801,0.038523044,0,0,0.030438712,0,0.230457313,0.259655934,0.199565018,1
